Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
127,Kris Dunn\dunnkr01,PG,25,CHI,51,1269,12.1,0.51,0.327,0.158,1.9,14.9,8.1,19.4,3.8,1.3,15.7,14.6,0.3,2,2.3,0.085,-3.7,3.1,-0.6,0.4
128,Lauri Markkanen\markkla01,PF,22,CHI,50,1492,14.3,0.56,0.536,0.259,4.2,19.7,11.6,7.6,1.4,1.5,11,21.1,1,1.6,2.6,0.084,0.2,-0.8,-0.6,0.5
129,Brad Wanamaker\wanambr01,PG,30,BOS,71,1369,12.8,0.577,0.282,0.376,1.7,9.4,5.6,17.8,2.2,0.9,15.3,15.5,1.8,1.8,3.5,0.124,-1.9,1.3,-0.6,0.5
130,Cody Zeller\zelleco01,C,27,CHO,58,1341,18.8,0.576,0.157,0.374,12.6,21.2,16.7,11.3,1.5,1.7,11.9,20.8,2.3,1.3,3.6,0.129,0.2,-0.8,-0.6,0.5
131,Maurice Harkless\harklma01,PF-SF,26,TOT,62,1427,9.8,0.572,0.346,0.233,4.1,13.3,8.8,6.4,1.9,2.1,14.5,10.7,0.8,1.9,2.7,0.09,-2.6,1.9,-0.7,0.5
132,Josh Hart\hartjo01,SF,24,NOP,65,1755,11.9,0.563,0.665,0.216,3.7,22.1,12.8,8.2,1.7,1.1,11.4,15.3,1.3,1.8,3.1,0.085,-1.1,0.4,-0.7,0.6
133,Danuel House\houseda01,SF,26,HOU,63,1913,11.3,0.572,0.659,0.167,3.1,11.6,7.3,6.1,1.6,1.5,8.5,13.7,1.9,1.8,3.6,0.091,-0.8,0,-0.7,0.6
134,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,69,1762,11,0.584,0.471,0.201,2.4,6.4,4.4,8.5,1.5,0.7,10.1,14.7,1.9,1.9,3.7,0.102,-1.2,0.4,-0.8,0.5
135,Langston Galloway\gallola01,SG,28,DET,66,1702,12.3,0.584,0.611,0.157,2.2,7.8,5,8.8,1.4,0.5,6.5,15.9,2.4,0.7,3.1,0.087,0,-0.9,-0.8,0.5
136,Rudy Gay\gayru01,PF,33,SAS,67,1461,15.4,0.553,0.369,0.228,4.5,22.2,13.4,11.3,1.1,2,11.8,22,0.9,1.1,2.1,0.068,0,-0.9,-0.8,0.4
137,Shabazz Napier\napiesh01,PG,28,TOT,56,1344,13.8,0.552,0.526,0.336,2,10.9,6.3,27.8,2.4,0.7,19.7,20,0.8,0.9,1.7,0.059,-0.7,-0.4,-1.1,0.3
138,Bobby Portis\portibo01,PF,24,NYK,66,1393,14.6,0.53,0.317,0.158,6,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1,1.9,0.064,0,-1.1,-1.1,0.3
139,Garrett Temple\templga01,SG,33,BRK,62,1730,10.5,0.513,0.658,0.148,1.8,11.1,6.5,12.8,1.3,1.4,9,16.6,0.7,1.7,2.4,0.066,-1.4,0.3,-1.1,0.4
140,Bruce Brown\brownbr01,PG,23,DET,58,1634,11.9,0.518,0.215,0.266,4.2,15,9.5,20.4,1.9,1.5,16.7,16,0.7,1.4,2.1,0.062,-2,0.8,-1.2,0.3
141,Thaddeus Young\youngth01,PF,31,CHI,64,1591,13.3,0.521,0.369,0.12,6.2,16.1,10.9,11.3,2.8,1.4,13.9,19.7,-0.2,2.1,1.9,0.058,-1.4,0.2,-1.2,0.3
142,Harrison Barnes\barneha02,PF,27,SAC,72,2482,13.3,0.574,0.338,0.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,3.4,1.1,4.6,0.088,0,-1.3,-1.3,0.5
143,Troy Brown Jr.\browntr01,SF,20,WAS,69,1782,13.7,0.524,0.288,0.223,4.5,19.6,11.7,14.1,2.2,0.3,10.4,17.8,1.3,1.2,2.4,0.065,-0.8,-0.4,-1.3,0.3
144,Furkan Korkmaz\korkmfu01,SG,22,PHI,72,1559,12,0.579,0.632,0.181,1.3,10.6,6,7.3,1.3,0.9,8.8,18.4,1.4,1.4,2.8,0.085,-0.3,-1,-1.3,0.3
145,Tomáš Satoranský\satorto01,SG,28,CHI,65,1878,13.5,0.533,0.361,0.22,4.3,11,7.5,27.1,2.1,0.4,17.7,16.7,1.8,1.7,3.5,0.09,-1.1,-0.2,-1.3,0.3
146,Ish Smith\smithis01,PG,31,WAS,68,1787,13.9,0.509,0.245,0.125,1.8,12,6.7,27.1,1.5,1.5,11.6,19.1,1.3,0.6,1.9,0.051,-0.3,-1,-1.3,0.3
147,Jeff Teague\teaguje01,PG,31,TOT,59,1464,14.6,0.557,0.239,0.403,1.9,8.6,5.2,30.7,1.4,1.1,16.8,19.5,1.9,0.6,2.5,0.082,-0.2,-1.3,-1.5,0.2
148,Tristan Thompson\thomptr01,PF,28,CLE,57,1721,16.8,0.54,0.041,0.286,14.5,22.9,18.6,10.5,0.9,2.5,14,18.3,2,1.1,3.1,0.085,-0.3,-1.3,-1.5,0.2
149,D.J. Augustin\augusdj01,PG,32,ORL,57,1420,14,0.554,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,2,0.9,2.9,0.098,-0.3,-1.3,-1.6,0.2
150,Tyler Herro\herroty01,SG,20,MIA,55,1508,12.5,0.55,0.472,0.158,1.2,14.9,8.3,12.7,1.1,0.6,11.4,22.3,0.2,1.3,1.6,0.05,-0.4,-1.2,-1.6,0.1
151,Aaron Holiday\holidaa01,PG,23,IND,66,1617,11.6,0.521,0.393,0.155,1.5,9,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0,-1.6,0.2
152,Kevin Huerter\huertke01,SG,21,ATL,56,1760,11.5,0.536,0.548,0.105,2.1,12,7,17.5,1.4,1.3,12,17.1,1,0.6,1.6,0.043,-0.7,-0.9,-1.6,0.2
153,P.J. Washington\washipj01,PF,21,CHO,58,1759,12.4,0.547,0.39,0.231,3.5,16.6,9.8,11.3,1.5,2.3,12.5,18.6,0.5,1.5,2,0.054,-1.7,0.1,-1.6,0.2
154,Glenn Robinson III\robingl02,SF,26,TOT,62,1786,13.3,0.577,0.333,0.145,4.8,11.9,8.2,8.4,1.5,0.8,8,16.4,2,0.9,2.9,0.078,-0.5,-1.2,-1.7,0.1
155,Markelle Fultz\fultzma01,PG,21,ORL,72,1996,14.3,0.517,0.175,0.206,2.1,11,6.4,29,2.2,0.5,14.9,21.4,0.6,2,2.7,0.065,-1.8,0,-1.8,0.1
156,Wesley Matthews\matthwe02,SG,33,MIL,67,1635,8.1,0.547,0.704,0.161,1.4,8.2,5,7.1,1.1,0.5,8.7,12.5,0.8,2.4,3.2,0.093,-2.6,0.7,-1.8,0.1
157,Josh Richardson\richajo01,SG,26,PHI,55,1693,12,0.533,0.385,0.218,2.7,8.7,5.7,13.9,1.5,1.8,12.8,20.6,0.5,1.7,2.1,0.061,-1.4,-0.4,-1.8,0.1
158,Collin Sexton\sextoco01,PG,21,CLE,65,2143,16.3,0.56,0.235,0.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.1,0.4,2.5,0.057,0.3,-2.1,-1.8,0.1
159,Tony Snell\snellto01,SF,28,DET,59,1641,9.7,0.598,0.665,0.084,0.6,7.1,3.8,10.9,1,0.8,7.3,11.4,2.1,0.5,2.6,0.076,-1.2,-0.6,-1.8,0.1
160,Sviatoslav Mykhailiuk\mykhasv01,SF,22,DET,56,1265,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1,0.6,1.6,0.06,-0.7,-1.2,-1.9,0
161,P.J. Tucker\tuckepj01,PF,34,HOU,72,2467,8.3,0.559,0.702,0.113,4.7,15.6,10.1,6,1.4,1.2,13.9,8.7,1.6,2.4,4,0.078,-2.4,0.6,-1.9,0.1
162,Cory Joseph\josepco01,PG,28,SAC,72,1759,10.1,0.517,0.386,0.17,2.7,9.4,6,19.1,1.5,1.1,15.3,12.9,1.2,1.1,2.3,0.062,-2.1,0.1,-2,0
163,Landry Shamet\shamela01,SG,22,LAC,53,1452,8.5,0.58,0.757,0.194,0.4,6.6,3.6,9.1,0.7,0.6,9,13.4,1.5,1.1,2.6,0.086,-1.8,-0.3,-2.1,0
164,Damion Lee\leeda03,SG,27,GSW,49,1423,12.7,0.548,0.468,0.247,2.4,16.3,9.1,14.4,1.7,0.4,10.6,19,0.9,0.8,1.7,0.058,-1.5,-0.8,-2.3,-0.1
165,Kendrick Nunn\nunnke01,PG,24,MIA,67,1962,12.9,0.534,0.428,0.109,1.2,8.7,5.1,18.5,1.4,0.8,10.6,24.1,0.4,1.6,2,0.049,-1,-1.3,-2.3,-0.1
166,Wendell Carter Jr.\cartewe01,C,20,CHI,43,1256,15.5,0.59,0.085,0.443,11.6,24.6,17.8,6,1.3,2.7,14.9,16.4,1.7,1.6,3.3,0.127,-2.1,-0.3,-2.4,-0.1
167,Josh Okogie\okogijo01,SG,21,MIN,62,1547,11.5,0.553,0.387,0.48,5.7,12.8,9.1,8.9,2,1.4,15.3,15.1,0.9,1.2,2.2,0.068,-2.4,0,-2.4,-0.2
168,Miles Bridges\bridgmi02,SF,21,CHO,65,1995,12.1,0.52,0.398,0.174,4.6,15.6,9.9,9.4,1,2.2,10.5,20,0.3,1.3,1.6,0.039,-1.5,-1,-2.5,-0.3
169,Gary Harris\harriga01,SG,25,DEN,56,1780,9.7,0.519,0.405,0.177,1.6,8.6,5.1,8.9,2.1,0.7,9.7,15.1,0.5,1.4,1.9,0.052,-2.8,0.3,-2.5,-0.2
170,Austin Rivers\riverau01,SG,27,HOU,68,1594,10.4,0.542,0.539,0.222,1.8,9.8,5.8,10,1.4,0.5,8.3,15.6,1.2,1.2,2.4,0.072,-2.1,-0.4,-2.5,-0.2
171,Kyle Kuzma\kuzmaky01,PF,24,LAL,61,1526,12.2,0.531,0.407,0.232,3.8,15.7,9.8,7.6,0.9,1.5,11,22.9,0.1,1.9,2,0.063,-1.6,-1,-2.6,-0.2
172,Cedi Osman\osmande01,SF,24,CLE,65,1910,10.7,0.552,0.527,0.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1,0.6,1.6,0.04,-1.7,-0.9,-2.6,-0.3
173,Bryn Forbes\forbebr01,SG,26,SAS,63,1579,11.1,0.57,0.656,0.155,0.8,7.8,4.3,9.5,1,0,8.4,18.5,1.3,0.3,1.5,0.047,-0.6,-2.1,-2.7,-0.3
174,Eric Paschall\pascher01,PF,23,GSW,60,1654,14.5,0.571,0.202,0.331,5.2,13.1,9,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,0.062,-0.7,-2,-2.7,-0.3
175,Coby White\whiteco01,PG,19,CHI,65,1674,11.9,0.506,0.475,0.163,1.8,14,7.6,16.5,1.4,0.3,11.4,24.4,-0.5,1.4,0.9,0.026,-1.2,-1.6,-2.8,-0.4
176,Taurean Prince\princta02,PF,25,BRK,64,1857,9.1,0.497,0.583,0.12,2.8,18.1,10.6,9.2,1.5,1.1,14,20.4,-1.7,2.3,0.6,0.014,-2.8,-0.1,-2.9,-0.4
177,Kent Bazemore\bazemke01,SF,30,TOT,68,1688,9.3,0.499,0.457,0.275,1.7,17.1,9.4,7.4,2.1,2.1,13.2,17.5,-0.9,1.5,0.6,0.017,-3.4,0.3,-3.1,-0.5
178,Rui Hachimura\hachiru01,PF,21,WAS,48,1444,13.5,0.535,0.16,0.257,5.7,17,11.1,8.8,1.2,0.5,8,19,1.3,0.5,1.8,0.06,-1.2,-2,-3.2,-0.4
179,Carmelo Anthony\anthoca01,PF,35,POR,58,1902,12.4,0.525,0.289,0.206,4,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8
180,Jarrett Culver\culveja01,SG,20,MIN,63,1506,9.6,0.467,0.388,0.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,-1.2,1.1,-0.1,-0.004,-3.3,-0.7,-4,-0.8
181,Dillon Brooks\brookdi01,SG,24,MEM,73,2112,11.3,0.51,0.385,0.19,3.5,8.6,6.1,10.5,1.4,1.1,9.7,25.2,-0.4,1.6,1.2,0.027,-2.6,-1.4,-4.1,-1.1
182,Cam Reddish\reddica01,SF,20,ATL,58,1551,9,0.5,0.451,0.227,2.4,12.7,7.5,8,1.9,1.5,13.6,18.9,-1.2,0.8,-0.4,-0.011,-3.3,-1,-4.2,-0.9
183,RJ Barrett\barrerj01,SG,19,NYK,56,1704,10.7,0.479,0.271,0.349,3,14.8,8.7,12.8,1.6,0.9,12.9,24,-1.6,1.1,-0.5,-0.015,-2.9,-1.5,-4.3,-1
184,Anfernee Simons\simonan01,SG,20,POR,70,1449,9,0.502,0.422,0.172,1.8,9.1,5.5,9.2,0.9,0.6,9.6,18.7,0,0.1,0.2,0.005,-2.6,-1.9,-4.5,-0.9
185,De'Andre Hunter\huntede01,SF,22,ATL,63,2018,8.6,0.521,0.445,0.211,2.3,13.1,7.6,8,1,0.7,12.1,17.5,-0.4,0.5,0.1,0.002,-2.9,-1.8,-4.7,-1.4
186,Darius Garland\garlada01,SG,20,CLE,59,1824,8.5,0.498,0.423,0.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-1.3,0,-1.3,-0.034,-2.7,-2.8,-5.6,-1.7
187,Jordan Poole\poolejo01,SG,20,GSW,57,1274,7.2,0.454,0.528,0.237,0.7,9.6,5,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5
