Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Russell Westbrook\westbru01,PG,28,OKC,81,2802,30.6,0.554,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,0.224,8.7,2.4,11.1,9.3
Kawhi Leonard\leonaka01,SF,25,SAS,74,2474,27.6,0.61,0.295,0.406,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,8.9,4.7,13.6,0.264,7.1,2.2,9.4,7.1
Kevin Durant\duranke01,PF,28,GSW,62,2070,27.6,0.651,0.304,0.374,2.2,23.6,13.6,23.1,1.5,3.8,10.4,27.8,8,4,12,0.278,6.7,2.2,8.9,5.7
James Harden\hardeja01,PG,27,HOU,81,2947,27.4,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,11.5,3.6,15,0.245,7.5,1.2,8.7,8
Chris Paul\paulch01,PG,31,LAC,61,1921,26.2,0.614,0.385,0.331,2.4,15,8.9,46.8,3.1,0.3,14,24.4,7.9,2.6,10.6,0.264,6.3,2.5,8.7,5.2
LeBron James\jamesle01,SF,32,CLE,74,2794,27,0.619,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,9.8,3,12.9,0.221,6.4,1.2,7.6,6.7
Giannis Antetokounmpo\antetgi01,SF,22,MIL,80,2845,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7
Jimmy Butler\butleji01,SF,27,CHI,76,2809,25.1,0.586,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,0.236,5.6,1.7,7.3,6.6
Nikola Jokić\jokicni01,C,21,DEN,73,2038,26.3,0.64,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,7.7,2,9.7,0.228,5.9,1.4,7.3,4.8
Stephen Curry\curryst01,PG,28,GSW,79,2638,24.6,0.624,0.547,0.251,2.7,11.4,7.3,31.2,2.6,0.5,13,30.1,8.7,3.9,12.6,0.229,6.7,0.3,6.9,5.9
Mike Conley\conlemi01,PG,29,MEM,69,2292,23.2,0.604,0.415,0.365,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10,0.209,6,0.8,6.8,5.1
DeMarcus Cousins\couside01,C,26,TOT,72,2465,25.8,0.562,0.253,0.468,7,29.2,18.2,25.8,2,3.4,13.5,36.5,3.9,3.8,7.6,0.149,5,1.8,6.8,5.5
Isaiah Thomas\thomais02,PG,27,BOS,76,2569,26.5,0.625,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,10.9,1.6,12.5,0.234,7.8,-1.1,6.7,5.6
Kyle Lowry\lowryky01,PG,30,TOR,60,2244,22.9,0.623,0.51,0.398,2.4,12,7.2,29.9,2,0.7,13.8,24.9,7.8,2.3,10.1,0.216,5.8,0.4,6.1,4.6
Anthony Davis\davisan02,C,23,NOP,75,2708,27.5,0.58,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.195,4.4,1.4,5.9,5.4
Marc Gasol\gasolma01,C,32,MEM,74,2531,20.3,0.554,0.231,0.286,2.6,18.8,10.5,24.8,1.4,3.7,11.3,26.4,4.2,3.5,7.7,0.145,3.8,1.4,5.2,4.6
Gordon Hayward\haywago01,SF,26,UTA,73,2516,22.2,0.595,0.324,0.371,2.3,15.4,9,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,0.199,4.6,0.5,5,4.5
Damian Lillard\lillada01,PG,26,POR,75,2694,24.1,0.586,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.4,0.185,6.1,-1.1,5,4.8
